"","Code BDV","Priorisation","Dep2T","Dep1T","Agriculteurs","PopFR","Chomeurs","NBRINS"
"63",330635103,"Peu Prioritaire",30.6306306306306,20.1492537313433,0.0398883127,89.2301555644,11.8867171919,1298
"64",330635104,"Non Prioritaire",30.5755395683453,17.0454545454545,0.0535331906,82.3340471092,11.9379014989,882
"65",330635201,"Peu Prioritaire",34.4262295081967,19.5402298850575,0,89.1394864677,10.9299097849,957
"66",330635202,"Peu Prioritaire",38.5608856088561,27.7511961722488,0,89.2988929889,9.778597786,1239
"67",330635203,"Tres Prioritaire",44.2348008385744,30.4924242424242,0,96.0154241645,7.5192802057,1075
"68",330635302,"Tres Prioritaire",50.4201680672269,38.8471177944862,0,97.0238095238,6.3988095238,806
"69",330635303,"Prioritaire",43.7148217636023,30.1482701812191,0,94.6875,7.3958333333,1250
"70",330635304,"Tres Prioritaire",41.98606271777,31.9402985074627,0,93.8860971524,7.2864321608,1344
"71",330635401,"Non Prioritaire",34.2424242424242,22.2520107238606,0.1071811361,85.9592711683,11.2540192926,951
"72",330635402,"Non Prioritaire",36.0277136258661,21.8875502008032,0.0474833808,92.1177587844,7.8822412156,1048
"73",330635403,"Non Prioritaire",31.6725978647687,22.5037257824143,0,93.7555753791,7.136485281,1224
"74",330635501,"Non Prioritaire",38.0116959064327,18.7341772151899,0,87.3647265282,10.6756361509,1018
"75",330635502,"Peu Prioritaire",36.7906066536204,20.4116638078902,0.0593647967,90.4125853369,10.0623330365,1348
